order_id,order_date,customer_id,amount
ORD-001,2024-01-15,CUST-101,1250.50
ORD-002,2024-01-16,CUST-102,890.25
ORD-003,2024-01-17,CUST-103,2340.00
ORD-004,2024-01-18,CUST-101,567.80
ORD-005,2024-01-19,CUST-104,1890.00
ORD-006,2024-01-20,CUST-105,445.60
ORD-007,2024-01-21,CUST-102,3200.00
ORD-008,2024-01-22,CUST-106,789.40
ORD-009,2024-01-23,CUST-103,1120.75
ORD-010,2024-01-24,CUST-107,2560.30
ORD-011,2024-01-25,CUST-101,980.50
ORD-012,2024-01-26,CUST-108,1450.00
ORD-013,2024-01-27,CUST-104,690.25
ORD-014,2024-01-28,CUST-109,3400.00
ORD-015,2024-01-29,CUST-105,1230.80
ORD-016,2024-01-30,CUST-102,875.60
ORD-017,2024-01-31,CUST-110,2100.00
ORD-018,2024-02-01,CUST-106,1540.25
ORD-019,2024-02-02,CUST-103,948.70
ORD-020,2024-02-03,CUST-111,2890.00
